Gene	Is gene significantly up- or downregulated in aging MII oocytes?	Source	Species
NR2E3	down	Reyes 2017	human
DBN1	down	Reyes 2017	human
MED7	down	Reyes 2017	human
BDNF	down	Reyes 2017	human
SNRPA1	down	Reyes 2017	human
SNUPN	down	Reyes 2017	human
ZNF433	down	Reyes 2017	human
ZNF180	down	Reyes 2017	human
TDGF1	down	Reyes 2017	human
CDK1	down	Reyes 2017	human
CFL2	down	Reyes 2017	human
COQ3	down	Reyes 2017	human
ARPC5	down	Reyes 2017	human
HSPA1L	down	Reyes 2017	human
TAF9B	down	Reyes 2017	human
ZNF212	down	Reyes 2017	human
PRDX1	down	Reyes 2017	human
SKA2	down	Reyes 2017	human
SOHLH1	down	Reyes 2017	human
ARPC1A	down	Reyes 2017	human
FBXO3	down	Reyes 2017	human
MEI1	down	Reyes 2017	human
NLRP5	down	Reyes 2017	human
ZNF565	down	Reyes 2017	human
CASP3	down	Reyes 2017	human
SNRPA	down	Reyes 2017	human
TNFAIP8	down	Reyes 2017	human
CPSF6	down	Reyes 2017	human
GTF2H2	down	Reyes 2017	human
ETV6	down	Reyes 2017	human
ZNF727	down	Reyes 2017	human
CCDC101	down	Reyes 2017	human
ZNF564	down	Reyes 2017	human
MMS19	down	Reyes 2017	human
DYNLL1	down	Reyes 2017	human
GSN	down	Reyes 2017	human
MYH9	down	Reyes 2017	human
DDX56	down	Reyes 2017	human
ZNF586	down	Reyes 2017	human
PHF12	down	Reyes 2017	human
PTBP2	down	Reyes 2017	human
PCGF3	down	Reyes 2017	human
ZNF23	down	Reyes 2017	human
ZNF227	down	Reyes 2017	human
XRCC6	down	Reyes 2017	human
ZNF304	down	Reyes 2017	human
KIF22	down	Reyes 2017	human
NEK2	down	Reyes 2017	human
RANBP10	down	Reyes 2017	human
PPRC1	down	Reyes 2017	human
PSMA6	down	Reyes 2017	human
BNIP3	down	Reyes 2017	human
TIPIN	down	Reyes 2017	human
YEATS4	down	Reyes 2017	human
LRPPRC	up	Reyes 2017	human
FLII	up	Reyes 2017	human
E2F1	up	Reyes 2017	human
MAP1A	up	Reyes 2017	human
NR1H4	up	Reyes 2017	human
NME2	up	Reyes 2017	human
ZNF821	up	Reyes 2017	human
DACH1	up	Reyes 2017	human
ZNF721	up	Reyes 2017	human
TP53INP1	up	Reyes 2017	human
XIRP2	up	Reyes 2017	human
TUBA3E	up	Reyes 2017	human
TYW1B	up	Reyes 2017	human
MECOM	up	Reyes 2017	human
PIN1	down	Llonch 2021	human
SERF2	down	Llonch 2021	human
C12orf75	down	Llonch 2021	human
TLR5	down	Llonch 2021	human
KIAA1671	down	Llonch 2021	human
CYB5D2	down	Llonch 2021	human
CRLS1	down	Llonch 2021	human
YY2	down	Llonch 2021	human
LOC107985911	down	Llonch 2021	human
STRIP1	down	Llonch 2021	human
ENSG00000255133	down	Llonch 2021	human
ADIPOR1	down	Llonch 2021	human
LSM6	down	Llonch 2021	human
GTF2A2	down	Llonch 2021	human
TM2D3	down	Llonch 2021	human
FBXO36	down	Llonch 2021	human
SLIRP	down	Llonch 2021	human
ALMS1.IT1	down	Llonch 2021	human
ZBTB18	down	Llonch 2021	human
AP1S3	down	Llonch 2021	human
ELOC	down	Llonch 2021	human
SGCZ	down	Llonch 2021	human
ACLY	down	Llonch 2021	human
NDUFB6	down	Llonch 2021	human
TCF3	down	Llonch 2021	human
NBR2	down	Llonch 2021	human
ENSG00000285480	down	Llonch 2021	human
DSCR8	down	Llonch 2021	human
UBAC2	down	Llonch 2021	human
IRF2BPL	down	Llonch 2021	human
MGMT	down	Llonch 2021	human
