Gene name	Ensembl gene ID	Location	Gene type	Description	Source for gene being significantly up-regulated in aging MII oocytes	No. of sources	Source for gene being significantly down-regulated in aging MII oocytes	No. of sources	Is this gene consistently up- or down-regulated? (i.e. no study draws an opposing conclusion)
TSPAN6	ENSG00000000003	X:100627108-100639991:-1	protein_coding	tetraspanin 6 [Source:HGNC Symbol;Acc:HGNC:11858]	Barone 2020	1	.	0	yes
DPM1	ENSG00000000419	20:50934867-50959140:-1	protein_coding	dolichyl-phosphate mannosyltransferase subunit 1, catalytic [Source:HGNC Symbol;Acc:HGNC:3005]	Yuan 2021	1	.	0	yes
GCLC	ENSG00000001084	6:53497341-53616970:-1	protein_coding	glutamate-cysteine ligase catalytic subunit [Source:HGNC Symbol;Acc:HGNC:4311]	.	0	Steuerwald 2007	1	yes
NFYA	ENSG00000001167	6:41072974-41102403:1	protein_coding	nuclear transcription factor Y subunit alpha [Source:HGNC Symbol;Acc:HGNC:7804]	.	0	Pan 2008	1	yes
ENPP4	ENSG00000001561	6:46129989-46146688:1	protein_coding	ectonucleotide pyrophosphatase/phosphodiesterase 4 [Source:HGNC Symbol;Acc:HGNC:3359]	.	0	Barone 2020	1	yes
CFTR	ENSG00000001626	7:117287120-117715971:1	protein_coding	CF transmembrane conductance regulator [Source:HGNC Symbol;Acc:HGNC:1884]	.	0	Llonch 2021	1	yes
LASP1	ENSG00000002834	17:38869859-38921770:1	protein_coding	LIM and SH3 protein 1 [Source:HGNC Symbol;Acc:HGNC:6513]	Pan 2008	1	.	0	yes
M6PR	ENSG00000003056	12:8940361-8949761:-1	protein_coding	mannose-6-phosphate receptor, cation dependent [Source:HGNC Symbol;Acc:HGNC:6752]	Barone 2020, This study	2	.	0	yes
ICA1	ENSG00000003147	7:8113184-8262687:-1	protein_coding	islet cell autoantigen 1 [Source:HGNC Symbol;Acc:HGNC:5343]	.	0	Yuan 2021	1	yes
ALS2	ENSG00000003393	2:201700267-201782112:-1	protein_coding	alsin Rho guanine nucleotide exchange factor ALS2 [Source:HGNC Symbol;Acc:HGNC:443]	This study	1	.	0	yes
TFPI	ENSG00000003436	2:187464230-187565760:-1	protein_coding	tissue factor pathway inhibitor [Source:HGNC Symbol;Acc:HGNC:11760]	.	0	Ntostis 2021	1	yes
NDUFAF7	ENSG00000003509	2:37231631-37253403:1	protein_coding	NADH:ubiquinone oxidoreductase complex assembly factor 7 [Source:HGNC Symbol;Acc:HGNC:28816]	.	0	Llonch 2021	1	yes
MTMR7	ENSG00000003987	8:17296794-17413528:-1	protein_coding	myotubularin related protein 7 [Source:HGNC Symbol;Acc:HGNC:7454]	.	0	Hamatini 2004	1	yes
SLC7A2	ENSG00000003989	8:17497088-17570573:1	protein_coding	solute carrier family 7 member 2 [Source:HGNC Symbol;Acc:HGNC:11060]	.	0	Pan 2008	1	yes
ARF5	ENSG00000004059	7:127588386-127591700:1	protein_coding	ADP ribosylation factor 5 [Source:HGNC Symbol;Acc:HGNC:658]	.	0	Barone 2020	1	yes
POLDIP2	ENSG00000004142	17:28346633-28357527:-1	protein_coding	DNA polymerase delta interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:23781]	This study	1	.	0	yes
AK2	ENSG00000004455	1:33007986-33080996:-1	protein_coding	adenylate kinase 2 [Source:HGNC Symbol;Acc:HGNC:362]	.	0	Llonch 2021, Pan 2008	2	yes
KDM1A	ENSG00000004487	1:23019443-23083689:1	protein_coding	lysine demethylase 1A [Source:HGNC Symbol;Acc:HGNC:29079]	.	0	Llonch 2021	1	yes
RBM6	ENSG00000004534	3:49940007-50100045:1	protein_coding	RNA binding motif protein 6 [Source:HGNC Symbol;Acc:HGNC:9903]	Pan 2008	1	.	0	yes
RECQL	ENSG00000004700	12:21468910-21501669:-1	protein_coding	RecQ like helicase [Source:HGNC Symbol;Acc:HGNC:9948]	Llonch 2021	1	.	0	yes
NDUFAB1	ENSG00000004779	16:23581014-23596316:-1	protein_coding	NADH:ubiquinone oxidoreductase subunit AB1 [Source:HGNC Symbol;Acc:HGNC:7694]	.	0	Barone 2020, Llonch 2021, Steuerwald 2007	3	yes
PDK4	ENSG00000004799	7:95583499-95596516:-1	protein_coding	pyruvate dehydrogenase kinase 4 [Source:HGNC Symbol;Acc:HGNC:8812]	.	0	Zhang 2020	1	yes
ARX	ENSG00000004848	X:25003694-25016420:-1	protein_coding	aristaless related homeobox [Source:HGNC Symbol;Acc:HGNC:18060]	Pan 2008	1	.	0	yes
SLC25A13	ENSG00000004864	7:96120220-96322147:-1	protein_coding	solute carrier family 25 member 13 [Source:HGNC Symbol;Acc:HGNC:10983]	.	0	Steuerwald 2007	1	yes
CDC27	ENSG00000004897	17:47117703-47189422:-1	protein_coding	cell division cycle 27 [Source:HGNC Symbol;Acc:HGNC:1728]	Llonch 2021, Steuerwald 2007	2	.	0	yes
DVL2	ENSG00000004975	17:7225342-7234517:-1	protein_coding	dishevelled segment polarity protein 2 [Source:HGNC Symbol;Acc:HGNC:3086]	Ntostis 2021, This study	2	.	0	yes
UPF1	ENSG00000005007	19:18831959-18868230:1	protein_coding	UPF1 RNA helicase and ATPase [Source:HGNC Symbol;Acc:HGNC:9962]	This study	1	Barone 2020	1	no
SLC25A5	ENSG00000005022	X:119468422-119471396:1	protein_coding	solute carrier family 25 member 5 [Source:HGNC Symbol;Acc:HGNC:10991]	Pan 2008	1	Llonch 2021	1	no
MCUB	ENSG00000005059	4:109560209-109688719:1	protein_coding	mitochondrial calcium uniporter dominant negative subunit beta [Source:HGNC Symbol;Acc:HGNC:26076]	.	0	Llonch 2021	1	yes
CIAPIN1	ENSG00000005194	16:57428187-57447420:-1	protein_coding	cytokine induced apoptosis inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:28050]	.	0	Pan 2008	1	yes
PRKAR2B	ENSG00000005249	7:107044705-107161811:1	protein_coding	protein kinase cAMP-dependent type II regulatory subunit beta [Source:HGNC Symbol;Acc:HGNC:9392]	Yuan 2021	1	.	0	yes
CREBBP	ENSG00000005339	16:3725054-3880713:-1	protein_coding	CREB binding protein [Source:HGNC Symbol;Acc:HGNC:2348]	Pan 2008, Yuan 2021	2	.	0	yes
PON1	ENSG00000005421	7:95297676-95324532:-1	protein_coding	paraoxonase 1 [Source:HGNC Symbol;Acc:HGNC:9204]	Llonch 2021	1	This study	1	no
WDR54	ENSG00000005448	2:74421678-74425755:1	protein_coding	WD repeat domain 54 [Source:HGNC Symbol;Acc:HGNC:25770]	.	0	Ntostis 2021	1	yes
KMT2E	ENSG00000005483	7:104940943-105115019:1	protein_coding	lysine methyltransferase 2E (inactive) [Source:HGNC Symbol;Acc:HGNC:18541]	Llonch 2021	1	.	0	yes
SOX8	ENSG00000005513	16:981444-986979:1	protein_coding	SRY-box transcription factor 8 [Source:HGNC Symbol;Acc:HGNC:11203]	.	0	Pan 2008	1	yes
IBTK	ENSG00000005700	6:82169986-82247754:-1	protein_coding	inhibitor of Bruton tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:17853]	Pan 2008	1	.	0	yes
MYCBP2	ENSG00000005810	13:77042474-77327094:-1	protein_coding	MYC binding protein 2 [Source:HGNC Symbol;Acc:HGNC:23386]	Llonch 2021, Yuan 2021	2	.	0	yes
ZFX	ENSG00000005889	X:24149173-24216255:1	protein_coding	zinc finger protein X-linked [Source:HGNC Symbol;Acc:HGNC:12869]	Barone 2020	1	.	0	yes
LAMP2	ENSG00000005893	X:120426148-120469365:-1	protein_coding	lysosomal associated membrane protein 2 [Source:HGNC Symbol;Acc:HGNC:6501]	.	0	Barone 2020	1	yes
REX1BD	ENSG00000006015	19:18588685-18592337:1	protein_coding	required for excision 1-B domain containing [Source:HGNC Symbol;Acc:HGNC:26098]	.	0	Ntostis 2021	1	yes
CRLF1	ENSG00000006016	19:18572220-18607741:-1	protein_coding	cytokine receptor like factor 1 [Source:HGNC Symbol;Acc:HGNC:2364]	.	0	Ntostis 2021	1	yes
YBX2	ENSG00000006047	17:7288263-7294639:-1	protein_coding	Y-box binding protein 2 [Source:HGNC Symbol;Acc:HGNC:17948]	.	0	Barone 2020	1	yes
TAC1	ENSG00000006128	7:97732084-97740472:1	protein_coding	tachykinin precursor 1 [Source:HGNC Symbol;Acc:HGNC:11517]	Pan 2008	1	.	0	yes
RALA	ENSG00000006451	7:39623565-39708120:1	protein_coding	RAS like proto-oncogene A [Source:HGNC Symbol;Acc:HGNC:9839]	.	0	Barone 2020	1	yes
FARP2	ENSG00000006607	2:241356285-241494841:1	protein_coding	FERM, ARH/RhoGEF and pleckstrin domain protein 2 [Source:HGNC Symbol;Acc:HGNC:16460]	Pan 2008	1	.	0	yes
DBF4	ENSG00000006634	7:87876216-87909553:1	protein_coding	DBF4 zinc finger [Source:HGNC Symbol;Acc:HGNC:17364]	Llonch 2021	1	.	0	yes
TBXA2R	ENSG00000006638	19:3594507-3606875:-1	protein_coding	thromboxane A2 receptor [Source:HGNC Symbol;Acc:HGNC:11608]	Barone 2020	1	.	0	yes
GTF2IRD1	ENSG00000006704	7:74453790-74602605:1	protein_coding	GTF2I repeat domain containing 1 [Source:HGNC Symbol;Acc:HGNC:4661]	Pan 2008	1	.	0	yes
ARHGAP44	ENSG00000006740	17:12789498-12991643:1	protein_coding	Rho GTPase activating protein 44 [Source:HGNC Symbol;Acc:HGNC:29096]	.	0	This study	1	yes
ELAC2	ENSG00000006744	17:12991612-13018065:-1	protein_coding	elaC ribonuclease Z 2 [Source:HGNC Symbol;Acc:HGNC:14198]	This study	1	.	0	yes
ARSD	ENSG00000006756	X:2903972-2929349:-1	protein_coding	arylsulfatase D [Source:HGNC Symbol;Acc:HGNC:717]	This study	1	.	0	yes
PNPLA4	ENSG00000006757	X:7898247-7927739:-1	protein_coding	patatin like phospholipase domain containing 4 [Source:HGNC Symbol;Acc:HGNC:24887]	Llonch 2021	1	.	0	yes
CDKL3	ENSG00000006837	5:134286350-134371047:-1	protein_coding	cyclin dependent kinase like 3 [Source:HGNC Symbol;Acc:HGNC:15483]	Llonch 2021	1	.	0	yes
MARK4	ENSG00000007047	19:45079288-45305284:1	protein_coding	microtubule affinity regulating kinase 4 [Source:HGNC Symbol;Acc:HGNC:13538]	This study	1	.	0	yes
CCDC124	ENSG00000007080	19:17933015-17943991:1	protein_coding	coiled-coil domain containing 124 [Source:HGNC Symbol;Acc:HGNC:25171]	This study	1	Ntostis 2021	1	no
GAS7	ENSG00000007237	17:9910606-10198606:-1	protein_coding	growth arrest specific 7 [Source:HGNC Symbol;Acc:HGNC:4169]	.	0	Barone 2020	1	yes
TRAPPC6A	ENSG00000007255	19:45162928-45178237:-1	protein_coding	trafficking protein particle complex subunit 6A [Source:HGNC Symbol;Acc:HGNC:23069]	This study	1	Ntostis 2021	1	no
TKTL1	ENSG00000007350	X:154295795-154330350:1	protein_coding	transketolase like 1 [Source:HGNC Symbol;Acc:HGNC:11835]	.	0	Ntostis 2021, This study	2	yes
TSR3	ENSG00000007520	16:1349240-1351878:-1	protein_coding	TSR3 ribosome maturation factor [Source:HGNC Symbol;Acc:HGNC:14175]	.	0	Ntostis 2021	1	yes
PIGQ	ENSG00000007541	16:566995-584109:1	protein_coding	phosphatidylinositol glycan anchor biosynthesis class Q [Source:HGNC Symbol;Acc:HGNC:14135]	.	0	Pan 2008	1	yes
CRAMP1	ENSG00000007545	16:1612337-1677908:1	protein_coding	cramped chromatin regulator homolog 1 [Source:HGNC Symbol;Acc:HGNC:14122]	This study	1	.	0	yes
TEAD3	ENSG00000007866	6:35473597-35497079:-1	protein_coding	TEA domain transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:11716]	Barone 2020	1	.	0	yes
DNAJC11	ENSG00000007923	1:6634168-6701924:-1	protein_coding	DnaJ heat shock protein family (Hsp40) member C11 [Source:HGNC Symbol;Acc:HGNC:25570]	Barone 2020	1	.	0	yes
E2F2	ENSG00000007968	1:23506438-23531233:-1	protein_coding	E2F transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:3114]	.	0	Pan 2008	1	yes
PSMB1	ENSG00000008018	6:170535120-170553307:-1	protein_coding	proteasome 20S subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:9537]	.	0	Barone 2020, Hamatini 2004, Llonch 2021, Ntostis 2021	4	yes
SYN1	ENSG00000008056	X:47571901-47619857:-1	protein_coding	synapsin I [Source:HGNC Symbol;Acc:HGNC:11494]	Pan 2008	1	.	0	yes
JARID2	ENSG00000008083	6:15246069-15522042:1	protein_coding	jumonji and AT-rich interaction domain containing 2 [Source:HGNC Symbol;Acc:HGNC:6196]	Llonch 2021	1	Pan 2008	1	no
TFAP2B	ENSG00000008196	6:50818723-50847619:1	protein_coding	transcription factor AP-2 beta [Source:HGNC Symbol;Acc:HGNC:11743]	Grondahl 2010	1	.	0	yes
TFAP2D	ENSG00000008197	6:50713526-50773033:1	protein_coding	transcription factor AP-2 delta [Source:HGNC Symbol;Acc:HGNC:15581]	.	0	Barone 2020	1	yes
CYTH3	ENSG00000008256	7:6161779-6272644:-1	protein_coding	cytohesin 3 [Source:HGNC Symbol;Acc:HGNC:9504]	.	0	Barone 2020, Yuan 2021	2	yes
SYPL1	ENSG00000008282	7:106090505-106112589:-1	protein_coding	synaptophysin like 1 [Source:HGNC Symbol;Acc:HGNC:11507]	Barone 2020	1	Llonch 2021	1	no
